Depart Date, TOF (Days), Perihelion (AU), Apohelion (AU)
Feb 01 2036 00:00:00.000000000,268,0.00022362523836634812,1.7275593998106027
Feb 01 2036 00:00:00.000000000,269,0.0001749980288740344,1.7051947226908293
Feb 01 2036 00:00:00.000000000,270,0.00013173374311732709,1.6814716535073022
Feb 01 2036 00:00:00.000000000,271,9.4164520155552353e-05,1.6563253552852975
Feb 01 2036 00:00:00.000000000,272,6.2589991120421757e-05,1.6296891375689024
Feb 01 2036 00:00:00.000000000,273,3.7266182408612986e-05,1.6014948016041135
Feb 01 2036 00:00:00.000000000,274,1.8392745904964418e-05,1.5716730914443151
Feb 01 2036 00:00:00.000000000,275,6.0988947529542222e-06,1.5401542709825131
Feb 01 2036 00:00:00.000000000,276,4.3016428471301832e-07,1.506868849237589
Feb 01 2036 00:00:00.000000000,277,3.5800582196899968e-11,0.044203344339111356
Feb 01 2036 00:00:00.000000000,278,2.0668840003464539e-10,0.041403952951692233
Feb 01 2036 00:00:00.000000000,279,4.6765762090171834e-10,0.038693675572334101
Feb 01 2036 00:00:00.000000000,280,7.7218718917380807e-10,0.036072777231272689
Feb 01 2036 00:00:00.000000000,281,1.0840048983310637e-09,0.03354152371676291
Feb 01 2036 00:00:00.000000000,282,1.375835466879708e-09,0.031100184478368653
Feb 01 2036 00:00:00.000000000,283,1.6282298293969745e-09,0.028749034642941582
Feb 01 2036 00:00:00.000000000,284,1.8284606280928235e-09,0.02648835588746919
Feb 01 2036 00:00:00.000000000,285,1.9694838422928436e-09,0.024318436114751919
Feb 01 2036 00:00:00.000000000,286,2.0489732678483904e-09,0.02223956802023374
Feb 01 2036 00:00:00.000000000,287,2.0684217640498702e-09,0.020252046703533536
Feb 01 2036 00:00:00.000000000,288,2.0323097278472321e-09,0.018356166511150143
Feb 01 2036 00:00:00.000000000,289,1.9473437555437814e-09,0.016552217351007596
Feb 01 2036 00:00:00.000000000,290,1.8217617383991992e-09,0.014840480811723924
Feb 01 2036 00:00:00.000000000,291,1.6647088159160177e-09,0.013221226510512137
Feb 01 2036 00:00:00.000000000,292,1.4856822423107231e-09,0.011694709104725498
Feb 01 2036 00:00:00.000000000,293,1.2940468669021606e-09,0.010261166288555288
Feb 01 2036 00:00:00.000000000,294,1.0986218342955663e-09,0.0089208178823053045
Feb 01 2036 00:00:00.000000000,295,9.0733845376116627e-10,0.0076738658944127246
Feb 01 2036 00:00:00.000000000,296,7.2696953381432481e-10,0.0065204952835939672
Feb 01 2036 00:00:00.000000000,297,5.6293022377326676e-10,0.0054608751066873556
Feb 01 2036 00:00:00.000000000,298,4.1915026972476445e-10,0.0044951597873714713
Feb 01 2036 00:00:00.000000000,299,2.9801762580591177e-10,0.0036234903359591776
Feb 01 2036 00:00:00.000000000,300,2.0039357975688559e-10,0.0028459954496668741
Feb 01 2036 00:00:00.000000000,301,1.2569927458338481e-10,0.0021627925034697027
Feb 01 2036 00:00:00.000000000,302,7.2073830790970733e-11,0.0015739884971418035
Feb 01 2036 00:00:00.000000000,303,3.6604143090828828e-11,0.0010796810535271852
Feb 01 2036 00:00:00.000000000,304,1.5626475855431001e-11,0.00067995956402888626
Feb 01 2036 00:00:00.000000000,305,5.10004872033262e-12,0.0003749065417414593
Feb 01 2036 00:00:00.000000000,306,1.0528655716402589e-12,0.00016459916189889634
Feb 01 2036 00:00:00.000000000,307,1.0015856670107225e-13,4.9110847188521331e-05
Feb 01 2036 00:00:00.000000000,308,0.0011891184869852283,135.3671611129852
Feb 01 2036 00:00:00.000000000,309,0.0042743064843880707,127.66972618673414
Feb 01 2036 00:00:00.000000000,310,0.011234078581593848,121.01682860316386
Feb 01 2036 00:00:00.000000000,311,0.021925571214673277,115.2684667923544
Feb 01 2036 00:00:00.000000000,312,0.036140547374946604,110.30582893234485
Feb 01 2036 00:00:00.000000000,313,0.053614749377050672,106.02766693224285
Feb 01 2036 00:00:00.000000000,314,0.074039113590751937,102.34735775403463
Feb 01 2036 00:00:00.000000000,315,0.097072028951419351,99.190509813521601
Feb 01 2036 00:00:00.000000000,316,0.12235182039110717,96.493005856087635
Feb 01 2036 00:00:00.000000000,317,0.14950871771604626,94.199393778927842
Feb 01 2036 00:00:00.000000000,318,0.17817570969080165,92.26155882504699
Feb 01 2036 00:00:00.000000000,319,0.20799785538467969,90.637624021317293
Feb 01 2036 00:00:00.000000000,320,0.2386398040238461,89.291035327577774
Feb 01 2036 00:00:00.000000000,321,0.26979144010218759,88.189797785494079
Feb 01 2036 00:00:00.000000000,322,0.30117170889731459,87.305836026540163
Feb 01 2036 00:00:00.000000000,323,0.33253078194945934,86.614456056251484
Feb 01 2036 00:00:00.000000000,324,0.36365079096580921,86.093890203520658
